Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n_Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,ID,Year_Birth,Dt_Customer
4428,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,3,11,0,51,2426,0,1,0,0,0,0,0,1,0,0,38,-283,0,10311,1969,2013-10-05 00:00:00.0000000
21474,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,3,11,1,31,2241,0,0,1,0,0,0,0,1,0,0,57,23,1,5371,1989,2014-04-08 00:00:00.0000000
26872,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,3,11,0,39,2415,0,1,0,0,0,0,0,1,0,0,40,8,0,2964,1981,2013-10-16 00:00:00.0000000
30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,62,2522,0,0,1,0,0,0,0,0,1,0,8,3,0,2795,1958,2013-07-01 00:00:00.0000000
32173,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,3,11,0,62,2491,1,0,0,0,0,0,0,0,0,1,20,18,0,10175,1958,2013-08-01 00:00:00.0000000
32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,2208,0,0,0,1,0,0,0,1,0,0,11,11,0,1386,1967,2014-05-11 00:00:00.0000000
33168,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,3,11,0,55,2783,0,0,1,0,0,0,0,0,1,0,119,116,0,5985,1965,2012-10-13 00:00:00.0000000
36634,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,3,11,0,66,2556,0,0,0,1,0,0,0,0,1,0,305,275,0,2285,1954,2013-05-28 00:00:00.0000000
40662,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,3,11,0,41,2630,0,1,0,0,0,0,0,0,1,0,69,46,0,10470,1979,2013-03-15 00:00:00.0000000
43456,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,3,11,0,54,2619,0,0,1,0,0,0,0,0,1,0,386,379,0,115,1966,2013-03-26 00:00:00.0000000
44931,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,3,11,0,53,2321,0,0,0,1,0,0,0,1,0,0,89,82,0,1991,1967,2014-01-18 00:00:00.0000000
47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,60,2500,0,0,1,0,0,1,0,0,0,0,62,52,0,1473,1960,2013-07-23 00:00:00.0000000
49544,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,3,11,0,44,2661,0,1,0,0,0,0,0,0,0,1,381,358,0,4065,1976,2013-02-12 00:00:00.0000000
54450,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,3,11,0,64,2812,0,0,0,1,0,0,0,1,0,0,652,620,0,5430,1956,2012-09-14 00:00:00.0000000
54809,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,3,11,0,43,2450,0,1,0,0,0,0,0,1,0,0,152,130,0,837,1977,2013-09-11 00:00:00.0000000
57091,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,0,3,11,1,59,2173,0,0,1,0,0,0,0,1,0,0,540,503,1,1,1961,2014-06-15 00:00:00.0000000
57731,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,3,11,0,51,2742,0,0,1,0,0,0,0,1,0,0,660,616,0,10968,1969,2012-11-23 00:00:00.0000000
62499,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,3,11,0,41,2361,0,0,0,1,0,0,0,0,1,0,218,214,0,5642,1979,2013-12-09 00:00:00.0000000
63564,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,3,11,1,66,2310,0,1,0,0,0,1,0,0,0,0,1150,1085,1,4073,1954,2014-01-29 00:00:00.0000000
65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0,4047,1954,2014-01-11 00:00:00.0000000
67267,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,3,11,0,62,2206,0,1,0,0,0,0,0,1,0,0,221,191,0,10476,1958,2014-05-13 00:00:00.0000000
67786,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,0,3,11,1,61,2363,0,0,0,0,1,0,0,0,0,1,1054,952,0,10530,1959,2013-12-07 00:00:00.0000000
71691,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,0,3,11,1,62,2263,0,0,1,0,0,0,0,0,0,1,1149,1106,0,7348,1958,2014-03-17 00:00:00.0000000
81044,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,3,11,0,73,2343,0,1,0,0,0,1,0,0,0,0,1182,1156,0,2079,1947,2013-12-27 00:00:00.0000000
84835,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,3,11,1,50,2172,1,0,0,0,0,0,0,1,0,0,972,754,0,1826,1970,2014-06-16 00:00:00.0000000
14796,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,0,3,11,1,36,2809,0,1,0,0,0,1,0,0,0,0,35,19,0,1241,1984,2012-09-17 00:00:00.0000000
18351,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,3,11,0,30,2402,0,1,0,0,0,0,0,1,0,0,36,29,0,3068,1990,2013-10-29 00:00:00.0000000
21359,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,1,48,2594,0,0,1,0,0,0,0,1,0,0,38,28,0,5585,1972,2013-04-20 00:00:00.0000000
25959,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,0,3,11,1,50,2659,1,0,0,0,0,1,0,0,0,0,30,4,0,5740,1970,2013-02-14 00:00:00.0000000
32300,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,3,11,0,47,2701,0,1,0,0,0,0,0,1,0,0,33,27,0,3158,1973,2013-01-03 00:00:00.0000000
34578,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,2238,0,0,0,1,0,0,0,0,0,1,8,8,0,5824,1972,2014-04-11 00:00:00.0000000
35340,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,3,11,0,64,2159,0,0,0,0,1,0,0,0,0,1,40,35,0,453,1956,2014-06-29 00:00:00.0000000
39146,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,3,11,0,34,2659,0,0,1,0,0,0,0,1,0,0,153,141,0,3657,1986,2013-02-14 00:00:00.0000000
39228,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,3,11,0,60,2574,1,0,0,0,0,0,0,0,1,0,17,14,0,10141,1960,2013-05-10 00:00:00.0000000
46374,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,0,3,11,1,46,2263,0,1,0,0,0,0,0,0,0,1,429,412,2,5794,1974,2014-03-17 00:00:00.0000000
48904,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,3,11,0,60,2733,0,0,1,0,0,0,0,1,0,0,344,317,0,8805,1960,2012-12-02 00:00:00.0000000
61314,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,3,11,0,52,2589,0,1,0,0,0,0,0,1,0,0,836,664,0,3767,1968,2013-04-25 00:00:00.0000000
64260,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,0,3,11,1,59,2693,0,0,0,1,0,0,0,1,0,0,1544,1514,0,9595,1961,2013-01-11 00:00:00.0000000
65370,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,3,11,0,36,2491,0,1,0,0,0,1,0,0,0,0,432,403,0,2681,1984,2013-08-01 00:00:00.0000000
